"folderName","anyInserted","anyDeleted","getMovedSrcs","UpdatedSrcs","insertedIfConditions","deletedIfStmts","elseInserted","elseDeleted","AnythingInLineMoved","AnythingInLineUpdated","AnythingInLineDeleted","AnythingMovedIntoLine","AnythingInsertedIntoLine","EntireLineMoved","EntireLineDeleted","stringsUpdated","magicStringsReplaced","MovedBlocksInIfConditions","AddedOrUpdatedComments","InsertedAssertConditions","InsertedTryCatch","UpdatedValueAssignments","RemovedTryCatch","UpdatedFuncArguments","hasOldFile","hasNewFile","numOldFiles","numNewFiles","isDupe","error"
"9fdfeff1_a7e1999d","4","175","518","8","1","0","0","0","2","0","0","5","52","1","0","0","0","0","0","0","0","0","2","0","1","1","1","1","0",
"9fdfeff1_6d5c0c19","0","5","77","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_df271912","4","25","163","15","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","3","0","0","1","1","1","1","0",
"3f79a3b5_33ce1f8f","0","121","107","4","0","0","0","2","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_9f70df74","9","0","9","1","0","0","0","0","0","0","0","0","0","0","0","6","0","0","2","0","0","1","0","1","1","1","1","1","0",
"3f79a3b5_87db2d79","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","1","0","0","1","1","1","1","0",
"3f79a3b5_b2a705bc","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_529be571","16","60","236","1","0","0","0","0","3","0","0","8","2","1","0","0","0","0","2","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_86cdfc87","0","44","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_f2ea4273","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_8b38a93b","7","10","2","6","0","0","0","0","0","0","1","0","0","0","1","0","0","0","2","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_9683f856","0","25","26","0","0","2","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_6d6f2c28","28","46","137","13","0","0","0","0","2","1","0","10","26","0","0","0","0","0","1","0","0","0","0","0","1","1","1","1","0",
"5fc1f717_26c9d5aa","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_1f8bcac2","0","17","6","4","0","0","0","0","0","0","0","0","4","1","0","6","0","0","4","0","0","4","0","0","1","1","1","1","0",
"5fc1f717_a9bd7269","0","7","40","5","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_53ba42e1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"9fdfeff1_d752be67","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_c9e0b9fb","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"3fce034c_55627e18","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"3fce034c_15c58b5b","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"9fdfeff1_92d14dfe","10","55","236","2","1","0","0","0","1","0","1","12","0","1","1","0","0","0","1","0","0","1","0","0","1","1","1","1","0",
"5fc1f717_cb48d1cd","33","10","171","4","0","0","0","0","1","0","0","1","16","1","0","0","0","0","0","0","0","2","0","0","1","1","1","1","0",
"5fc1f717_371e6f70","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_b32e0e8a","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
"5fc1f717_ce7a7bef","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","0",
"9fdfeff1_462ce649","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1",
"5fc1f717_1cff4168","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","1","1","1","0",
"9fdfeff1_88d046f9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0",
